Cantons,Canton,Year,Nb_Centres,y11,y12,y13,y14,y15,y16,y17,y18,y19,CN,CN15,Difference_CN,AO_CN11,AO_CN15,Difference_AO_CN,Difference_AO15_CN15,Difference_PE15_CN15,Month,Nb_Centres_m,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,key
TICINO,11.TI,2011,4,4,4,4,6,8,9,8,8,8,4,8,4,4,8,4,0,2,2010,,,,,1,,,,,,1,,,,,,,,,,1,,,,,4.1
URI,02.UR,2011,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2010,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
NIDWALDEN,08.NW,2011,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,2010,,,,,,,,,,,,,,,,1,,-1,,,1,-1,,,,0.5
SCHWYZ,15.SZ,2011,5,5,5,5,4,5,4,6,4,4,5,5,0,5,5,0,0,2,2010,,,,,,,,,,,1,,,,,,,,,,,,,,,1.9
OBWALDEN,01.OW,2011,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2010,,,,,,,,,,,,1,,,,,,,,,,,,,,0.4
LUZERN,06.LU,2011,2,2,2,3,4,13,16,13,9,8,2,11,9,2,12,10,1,3,2010,1,1,1,1,,,1,,1,1,3,,,,2,0,0,,1,0,0,,,1,-1,4.8
ZUG,07.ZG,2011,4,4,4,3,3,6,7,7,6,5,3,5,2,3,5,2,0,1,2010,,,,,1,,,,,1,,,,,-1,1,,,,1,,,,,,1.5
GRAUBUNDEN,19.GR,2011,7,7,8,7,8,15,13,14,12,9,7,11,4,7,13,6,2,3,2010,,,1,-1,,,,2,,,2,-1,,,,-1,,1,1,,,,,,-1,2.3
APPENZELL AUSSERHODEN,03.AR,2011,1,1,1,1,1,1,2,2,2,2,1,1,0,1,1,0,0,0,2010,,,,,,,,,,,,,,,1,,2,1,,,-1,,,,-2,0.7
APPENZELL INNERHODEN,04.AI,2011,1,1,1,1,1,3,3,3,3,3,1,2,1,1,4,3,2,0,2010,,,,,,,,,,,1,0,,,,,,,,,,,,,,0.2
SANKT GALLEN ,16.SG,2011,6,6,5,6,8,10,9,6,7,6,5,9,4,5,10,5,1,2,2010,-1,-1,1,-1,,,,,1,,1,1,-1,0,1,-2,-1,,,,,,,,1,5.9
THURGAU,23.TG,2011,12,12,12,12,13,14,14,13,12,11,12,13,1,12,14,2,1,0,2010,,,,,,,,,,,1,,,,,,,,,,,,,,,3.2
GLARUS,13.GL,2011,4,4,4,4,5,5,6,6,6,6,4,5,1,4,5,1,0,0,2010,,,,,,,,,,,,,,,,1,,,,,,,,,,2.3
SCHAFFHAUSEN,12.SH,2011,4,4,5,5,7,8,7,6,5,5,4,8,4,4,8,4,0,0,2010,,,,,,,,1,,,,2,-2,,,,,,,1,,,,,,1
BASEL-LANDSCHAFT ,20.BL,2011,8,8,10,9,9,12,13,13,12,10,7,9,2,7,9,2,0,3,2010,,,,,,,,,,,1,2,,2,1,,1,,,,,,-1,2,-4,3.4
BASEL-STADT,14.BS,2011,4,4,5,5,6,7,3,4,4,4,4,6,2,4,6,2,0,0,2010,,,,,,,,,,,,1,1,,,,-1,-1,,,,,-1,,-1,2.3
AARGAU,24.AG,2011,12,12,12,15,18,27,27,25,24,22,12,25,13,12,26,14,1,0,2010,,,,1,1,,1,2,1,,1,1,,,2,,-1,,,-1,,0,,,,7.9
SOLOTHURN ,05.SO,2011,3,3,3,2,5,7,9,7,6,7,2,6,4,2,6,4,0,2,2010,,,,1,,,,-1,,,1,,,1,1,,,,,,,1,,-1,,3.2
ZURICH ,26.ZH,2011,22,22,23,22,21,31,36,32,28,31,22,27,5,22,27,5,0,3,2010,0,0,1,0,0,0,1,1,0,2,1,2,0,8,0,-1,0,0,-2,0,1,-1,0,0,0,17.8
WALLIS ,18.VS,2011,6,6,7,7,6,8,7,7,7,7,6,8,2,6,8,2,0,1,2010,,,,,,,1,1,,,,1,,,,-1,,1,,,,,,-1,,4
BERN ,25.BE,2011,20,20,21,22,26,41,49,33,27,23,19,32,13,19,35,16,3,8,2010,,,,,,,1,1,2,1,2,3,,4,,1,1,-2,1,1,,,,1,1,12.1
JURA ,10.JU,2011,3,3,4,4,4,7,6,7,7,7,3,5,2,3,5,2,0,0,2010,,,,,,,,,1,,,2,,,,,,-1,,,,,,,,0.9
NEUCHATEL ,09.NE,2011,3,3,4,4,5,7,4,3,2,2,3,6,3,3,6,3,0,2,2010,,,,,,,,0,,1,,,,,,,-1,-1,,,,,1,,,2.1
FRIBOURG,17.FR,2011,5,5,6,6,6,9,9,8,7,5,5,7,2,5,9,4,2,3,2010,,,,,,,1,,,2,-1,1,,,2,-1,,,-1,,-1,,,1,,3.7
VAUD,22.VD,2011,10,10,14,12,15,29,23,13,11,12,10,21,11,10,24,14,3,2,2010,,,,,,,0,2,2,3,2,3,,,1,-3,1,,,,,-2,,-1,-2,9.4
GENEVE,21.GE,2011,10,10,11,10,11,16,20,14,13,14,10,16,6,10,16,6,0,1,2010,,,,,,,2,1,1,1,,,,2,,3,,,,,,,,,-1,5.8
TICINO,11.TI,2012,4,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,2012,1,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,2012,3,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,2012,5,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,2012,1,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,2012,2,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,2012,4,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,2012,8,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,2012,1,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,2012,1,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,2012,5,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,2012,12,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,2012,4,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,2012,5,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,2012,10,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,2012,5,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,2012,12,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,2012,3,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,2012,23,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,2012,7,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,2012,21,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,2012,4,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,2012,4,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,2012,6,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,2012,14,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,2012,11,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,2013,4,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,2013,1,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,2013,3,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,2013,5,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,2013,1,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,2013,3,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,2013,3,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,2013,7,,,,,,,,,,,,,,,,,,2012,-1,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,2013,1,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,2013,1,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,2013,6,,,,,,,,,,,,,,,,,,2012,-1,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,2013,12,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,2013,4,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,2013,5,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,2013,9,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,2013,5,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,2013,15,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,2013,2,,,,,,,,,,,,,,,,,,2012,1,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,2013,22,,,,,,,,,,,,,,,,,,2012,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,2013,7,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,2013,22,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,2013,4,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,2013,4,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,2013,6,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,2013,12,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,2013,10,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,2014,6,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,2014,1,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,2014,3,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,2014,4,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,2014,0,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,2014,4,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,2014,3,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,2014,8,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,2014,1,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,2014,1,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,2014,8,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,2014,13,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,2014,5,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,2014,7,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,2014,9,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,2014,6,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,2014,18,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,2014,5,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,2014,21,,,,,,,,,,,,,,,,,,2013,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,2014,6,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,2014,26,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,2014,4,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,2014,5,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,2014,6,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,2014,15,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,2014,11,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,2016,8,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,2016,1,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,2016,3,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,2016,5,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,2016,1,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
LUZERN,06.LU,2016,13,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUG,07.ZG,2016,6,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAUBUNDEN,19.GR,2016,15,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL AUSSERHODEN,03.AR,2016,1,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
APPENZELL INNERHODEN,04.AI,2016,3,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
SANKT GALLEN ,16.SG,2016,10,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
THURGAU,23.TG,2016,14,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
GLARUS,13.GL,2016,5,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAFFHAUSEN,12.SH,2016,8,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-LANDSCHAFT ,20.BL,2016,12,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
BASEL-STADT,14.BS,2016,7,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
AARGAU,24.AG,2016,27,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLOTHURN ,05.SO,2016,7,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
ZURICH ,26.ZH,2016,31,,,,,,,,,,,,,,,,,,2014,0,,,,,,,,,,,,,,,,,,,,,,,,,
WALLIS ,18.VS,2016,8,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
BERN ,25.BE,2016,41,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
JURA ,10.JU,2016,7,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUCHATEL ,09.NE,2016,7,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIBOURG,17.FR,2016,9,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUD,22.VD,2016,29,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
GENEVE,21.GE,2016,16,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,
TICINO,11.TI,2017,9,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,02.UR,2017,1,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
NIDWALDEN,08.NW,2017,3,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHWYZ,15.SZ,2017,4,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
OBWALDEN,01.OW,2017,1,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
